,R@1,R@5,R@10,mAP,NDCG,Temps (s)
siglip seul,0.9420,0.9970,0.9980,0.8560,0.9340,0.0130
blip seul,0.9360,0.9950,0.9990,0.8340,0.9220,0.0110
convnext_clip seul,0.9170,0.9920,0.9970,0.8150,0.9110,0.0130
eva_clip seul,0.8970,0.9850,0.9920,0.7970,0.9000,0.0120
Fusion : Addition Simple,0.9600,1.0000,1.0000,0.8830,0.9480,0.0170
Fusion : Multiplication,0.9590,0.9990,1.0000,0.8820,0.9470,0.0170
Fusion : Concaténation,0.9600,1.0000,1.0000,0.8830,0.9480,0.0480
Fusion : Maximum,0.9470,0.9960,0.9990,0.8630,0.9370,0.0180
Fusion : Reciprocal Rank (RRF),0.9590,0.9980,1.0000,0.8740,0.9430,0.0230
MIRAGE (Grid Search),0.9600,0.9990,1.0000,0.8830,0.9480,0.0170
MIRAGE + VLM (Zero-Shot),0.9800,0.9800,1.0000,0.8831,0.9489,9134.1945
